# JMH version: 1.37
# VM version: JDK 21, Java HotSpot(TM) 64-Bit Server VM, 21+35-LTS-2513
# VM invoker: /home/forked_franz/.sdkman/candidates/java/21-oracle/bin/java
# VM options: -server -dsa -da -XX:InitialRAMPercentage=40.0 -XX:MaxRAMPercentage=40.0 -Dio.netty.leakDetection.level=disabled -Djmh.executor=CUSTOM -Djmh.executor.class=io.github.neoionet.netty.microbenchmark.executor.FastThreadLocalThreadHarnessExecutor -XX:MaxRAM=60g -Xlog:gc
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 32 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: io.github.neoionet.netty.microbenchmark.ByteBufAllocatorAllocPatternBenchmark.heapAllocation
# Parameters: (MAX_LIVE_BUFFERS = 4096, allocatorType = ADAPTIVE, enableReadWrite = true, sizePattern = E_COMMERCE)

# Run progress: 0.00% complete, ETA 00:01:00
# Fork: 1 of 3
[0.002s][info][gc] Using G1
# Warmup Iteration   1: [2.861s][info][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 2289M->1337M(24576M) 34.732ms
517.701 ±(99.9%) 88.117 ns/op
# Warmup Iteration   2: 1354.586 ±(99.9%) 328.396 ns/op
# Warmup Iteration   3: 424.125 ±(99.9%) 113.022 ns/op
# Warmup Iteration   4: 410.894 ±(99.9%) 100.078 ns/op
# Warmup Iteration   5: 498.196 ±(99.9%) 110.519 ns/op
# Warmup Iteration   6: 433.490 ±(99.9%) 156.285 ns/op
# Warmup Iteration   7: 427.344 ±(99.9%) 166.861 ns/op
# Warmup Iteration   8: 433.116 ±(99.9%) 79.224 ns/op
# Warmup Iteration   9: 487.232 ±(99.9%) 152.388 ns/op
# Warmup Iteration  10: 400.873 ±(99.9%) 111.545 ns/op
Iteration   1: 434.189 ±(99.9%) 150.408 ns/op
Iteration   2: 558.678 ±(99.9%) 157.617 ns/op
Iteration   3: 406.828 ±(99.9%) 111.218 ns/op
Iteration   4: 406.759 ±(99.9%) 143.931 ns/op
Iteration   5: 403.409 ±(99.9%) 122.611 ns/op
Iteration   6: 467.414 ±(99.9%) 99.119 ns/op
Iteration   7: 499.991 ±(99.9%) 104.303 ns/op
Iteration   8: 475.749 ±(99.9%) 89.798 ns/op
Iteration   9: 429.523 ±(99.9%) 110.019 ns/op
Iteration  10: cRSS-pRSS:[2125, 2128]
;used-memory:[660]
441.608 ±(99.9%) 93.079 ns/op

# Run progress: 33.33% complete, ETA 00:00:48
# Fork: 2 of 3
[0.002s][info][gc] Using G1
# Warmup Iteration   1: [2.860s][info][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 2289M->1343M(24576M) 35.457ms
406.697 ±(99.9%) 54.813 ns/op
# Warmup Iteration   2: 1120.158 ±(99.9%) 141.565 ns/op
# Warmup Iteration   3: 333.172 ±(99.9%) 43.206 ns/op
# Warmup Iteration   4: 341.096 ±(99.9%) 61.164 ns/op
# Warmup Iteration   5: 341.300 ±(99.9%) 45.169 ns/op
# Warmup Iteration   6: 353.512 ±(99.9%) 71.208 ns/op
# Warmup Iteration   7: 339.752 ±(99.9%) 62.651 ns/op
# Warmup Iteration   8: 352.004 ±(99.9%) 75.596 ns/op
# Warmup Iteration   9: 389.491 ±(99.9%) 130.158 ns/op
# Warmup Iteration  10: 337.969 ±(99.9%) 62.611 ns/op
Iteration   1: 333.308 ±(99.9%) 55.189 ns/op
Iteration   2: 361.719 ±(99.9%) 84.804 ns/op
Iteration   3: 340.907 ±(99.9%) 64.226 ns/op
Iteration   4: 323.233 ±(99.9%) 35.075 ns/op
Iteration   5: 365.143 ±(99.9%) 89.766 ns/op
Iteration   6: 370.188 ±(99.9%) 92.063 ns/op
